timestamp,temperature,pressure,humidity,rainfall_mm,wind_speed,pressure_drop_5min,pressure_drop_15min,humidity_change_15min,cloud_env_pwv,cloud_env_cloud_base,cloud_env_sat_bt,cloud_env_ctc,cloud_env_radar_dbz,cloud_env_echo_top
20-07-2017 00:00:00,27.446,1008.231,70.044,0.0008,6.97,0.0,0.0,0.0,66.053,2997.3,291.574,0.09391,10.342,3985.2
20-07-2017 00:00:30,27.287,1008.246,70.775,0.0004,5.538,0.015,0.015,0.731,62.673,2935.2,291.668,0.05177,8.718,4019.2
20-07-2017 00:01:00,27.497,1008.427,68.528,0.0005,6.686,0.196,0.196,-1.516,64.022,3043.5,291.677,-0.29513,10.094,4052.0
20-07-2017 00:01:30,27.716,1008.555,67.893,0.0003,6.111,0.324,0.324,-2.151,64.267,3037.2,291.077,0.03501,9.598,3948.2
20-07-2017 00:02:00,27.29,1008.17,70.161,0.0001,6.151,-0.061,-0.061,0.117,64.344,2966.2,291.747,0.25682,10.086,4050.5
20-07-2017 00:02:30,27.29,1008.44,69.522,0.0004,4.818,0.209,0.209,-0.522,65.269,3035.4,291.591,-0.2189,9.851,4030.9
20-07-2017 00:03:00,27.757,1008.437,70.94,0.0006,4.678,0.206,0.206,0.896,65.232,3018.7,291.309,-0.15792,9.516,3974.6
20-07-2017 00:03:30,27.554,1008.667,69.88,0.0002,5.868,0.436,0.436,-0.164,65.315,2936.0,291.275,0.04518,8.674,3945.7
20-07-2017 00:04:00,27.259,1008.454,70.308,0.0004,6.148,0.223,0.223,0.263,65.477,2957.3,291.4,-0.08236,9.387,4005.8
20-07-2017 00:04:30,27.512,1008.546,67.565,0.0009,5.325,0.315,0.315,-2.479,64.24,3056.9,291.11,0.30845,10.852,3947.0
20-07-2017 00:05:00,27.274,1008.517,72.833,0.0001,5.347,0.286,0.286,2.789,64.025,3015.5,292.017,0.41773,10.339,4051.2
20-07-2017 00:05:30,27.273,1008.244,69.754,0.0004,6.337,-0.002,0.013,-0.291,65.317,2971.8,291.946,-0.19059,12.414,3943.8
20-07-2017 00:06:00,27.463,1008.592,71.046,0.0002,6.338,0.165,0.361,1.002,64.496,2957.1,291.636,-0.25643,10.128,4027.4
20-07-2017 00:06:30,26.925,1008.526,68.746,0.0006,5.917,-0.029,0.295,-1.298,63.744,2974.2,291.433,-0.09732,10.959,3996.0
20-07-2017 00:07:00,26.985,1008.561,70.462,0.0,6.468,0.391,0.33,0.418,65.777,2977.8,291.441,0.14722,9.343,3972.0
20-07-2017 00:07:30,27.276,1008.971,68.046,0.0006,5.295,0.531,0.74,-1.998,66.116,2957.7,291.727,0.29324,8.917,3994.9
20-07-2017 00:08:00,27.177,1008.25,70.678,0.0001,5.786,-0.187,0.019,0.634,66.246,2912.9,292.027,-0.19927,10.759,4054.0
20-07-2017 00:08:30,27.509,1008.707,69.466,0.0,6.989,0.04,0.476,-0.578,65.15,3057.0,291.329,-0.43131,9.349,3940.4
20-07-2017 00:09:00,27.217,1008.466,70.044,0.0006,6.041,0.012,0.235,-0.0,65.501,3048.5,291.165,0.31771,10.007,3979.4
20-07-2017 00:09:30,27.091,1008.534,71.047,0.0005,6.076,-0.012,0.303,1.003,66.096,2936.3,291.964,-0.10043,7.941,3962.4
